"","Year","Sex","Rate","Cases","Population"
"1","2000","Male and female",91.6,66327,78888847
"2","2001","Male and female",91.5,67353,79759102
"3","2002","Male and female",91.2,68399,80520219
"4","2003","Male and female",89.7,68632,81236918
"5","2004","Male and female",89,69335,81942864
"6","2005","Male and female",88.4,70188,82423220
"7","2006","Male and female",87.3,70500,82983936
"8","2007","Male and female",87.4,72236,83694378
"9","2008","Male and female",86.7,73253,84501407
"10","2009","Male and female",85.6,74124,85283386
"11","2010","Male and female",83.3,73959,86020376
"12","2011","Male and female",82.2,74584,86663904
"13","2012","Male and female",82,76181,87289477
"14","2013","Male and female",80.9,77066,87879245
"15","2014","Male and female",82,79922,88491766
"16","2015","Male and female",81.1,80794,89105692
"17","2016","Male and female",80.2,81499,89687366
"18","2017","Male and female",77.8,80442,90170545
